Command Class;Command;Identifier;value;sending node is;receiving node is;Additional comments
;Multilevel Sensor Get;SENSOR_MULTILEVEL_GET;0x04;controlling;supporting;-
;Multilevel Sensor Report;SENSOR_MULTILEVEL_REPORT;0x05;supporting;controlling;-
;Multilevel Sensor Supported Scale Report;SENSOR_MULTILEVEL_SUPPORTED_SCALE_REPORT;0x06;supporting;controlling;-
Multilevel Switch Command Class;Multilevel Switch Set;SWITCH_MULTILEVEL_SET;0x01;controlling;supporting;-
;Multilevel Switch Get;SWITCH_MULTILEVEL_GET;0x02;controlling;supporting;-
;Multilevel Switch Report;SWITCH_MULTILEVEL_REPORT;0x03;supporting;controlling;-
;Multilevel Switch Start Level Change;SWITCH_MULTILEVEL_START_LEVEL_CHANGE;0x04;controlling;supporting;-
;Multilevel Switch Stop Level Change;SWITCH_MULTILEVEL_STOP_LEVEL_CHANGE;0x05;controlling;supporting;-
;Multilevel Switch Supported Get;SWITCH_MULTILEVEL_SUPPORTED_GET;0x06;controlling;supporting;-
;Multilevel Switch Supported Report;SWITCH_MULTILEVEL_SUPPORTED_REPORT;0x07;supporting;controlling;-
Multilevel Toggle Switch Command Class;Multilevel Toggle Switch Set;SWITCH_TOGGLE_MULTILEVEL_SET;0x01;controlling;supporting;-
;Multilevel Toggle Switch Get;SWITCH_TOGGLE_MULTILEVEL_GET;0x02;controlling;supporting;-
;Multilevel Toggle Switch Report;SWITCH_TOGGLE_MULTILEVEL_REPORT;0x03;supporting;controlling;-
;Multilevel Toggle Switch Start Level Change;SWITCH_TOGGLE_MULTILEVEL_START_LEVEL_CHANGE;0x04;controlling;supporting;-
;Multilevel Toggle Switch Stop Level Change;SWITCH_TOGGLE_MULTILEVEL_STOP_LEVEL_CHANGE;0x05;controlling;supporting;-
Network Management Basic Node Command Class;Learn Mode Set;COMMAND_LEARN_MODE_SET;0x01;controlling;supporting;-
;Learn Mode Set Status;COMMAND_LEARN_MODE_SET_STATUS;0x02;supporting;controlling;-
;Network Update Request;COMMAND_NETWORK_UPDATE_REQUEST;0x03;controlling;supporting;-
;Network Update Request Status;COMMAND_NETWORK_UPDATE_REQUEST_STATUS;0x04;supporting;controlling;-
;Node Information Send;COMMAND_NODE_INFORMATION_SEND;0x05;controlling;supporting;-
;Default Set;COMMAND_DEFAULT_SET;0x06;controlling;supporting;-
;Default Set Complete;COMMAND_DEFAULT_SET_COMPLETE;0x07;supporting;controlling;-
;DSK Get;COMMAND_DSK_GET;0x08;controlling;supporting;-
;DSK Report;COMMAND_DSK_REPORT;0x09;supporting;controlling;-
Network Management Inclusion Command Class;Node Add;COMMAND_NODE_ADD;0x01;controlling;supporting;-
;Node Add Status;COMMAND_NODE_ADD_STATUS;0x02;supporting;controlling;-
;Node Remove;COMMAND_NODE_REMOVE;0x03;controlling;supporting;-
;Node Remove Status;COMMAND_NODE_REMOVE_STATUS;0x04;supporting;controlling;-
;Failed Node Remove;COMMAND_FAILED_NODE_REMOVE;0x07;controlling;supporting;-
;Failed Node Remove Status;COMMAND_FAILED_NODE_REMOVE_STATUS;0x08;supporting;controlling;-
;Failed Node Replace;COMMAND_FAILED_NODE_REPLACE;0x09;controlling;supporting;-
;Failed Node Replace Status;COMMAND_FAILED_NODE_REPLACE_STATUS;0x0A;supporting;controlling;-
;Node Neighbor Update Request;COMMAND_NODE_NEIGHBOR_UPDATE_REQUEST;0x0B;controlling;supporting;-
;Node Neighbor Update Status;COMMAND_NODE_NEIGHBOR_UPDATE_STATUS;0x0C;supporting;controlling;-
;Return Route Assign;COMMAND_RETURN_ROUTE_ASSIGN;0x0D;controlling;supporting;-
;Return Route Assign Complete;COMMAND_RETURN_ROUTE_ASSIGN_COMPLETE;0x0E;supporting;controlling;-
;Return Route Delete;COMMAND_RETURN_ROUTE_DELETE;0x0F;controlling;supporting;-
;Return Route Delete Complete;COMMAND_RETURN_ROUTE_DELETE_COMPLETE;0x10;supporting;controlling;-
;Node Add Keys Report;COMMAND_NODE_ADD_KEYS_REPORT;0x11;supporting;controlling;-
;Node Add Keys Set;COMMAND_NODE_ADD_KEYS_SET;0x12;controlling;supporting;-
;Node Add DSK Report;COMMAND_NODE_ADD_DSK_REPORT;0x13;supporting;controlling;-
;Node Add DSK Set;COMMAND_NODE_ADD_DSK_SET;0x14;controlling;supporting;-
;Included Node Information Frame Report;COMMAND_INCLUDED_NIF_REPORT;0x19;supporting;controlling;-
;Smart Start Join Started;COMMAND_SMART_START_JOIN_STARTED_REPORT;0x15;supporting;controlling;-
Network Management Installation and Maintenance Command Class;Last Working Route Set;LAST_WORKING_ROUTE_SET;0x01;controlling;supporting;-
;Last Working Route Get;LAST_WORKING_ROUTE_GET;0x02;controlling;supporting;-
;Last Working Route Report;LAST_WORKING_ROUTE_REPORT;0x03;supporting;controlling;-
;Statistics Get;STATISTICS_GET;0x04;controlling;supporting;-
;Statistics Report;STATISTICS_REPORT;0x05;supporting;controlling;-
;Statistics Clear;STATISTICS_CLEAR;0x06;controlling;supporting;-
;RSSI Get;COMMAND_RSSI_GET;0x07;controlling;supporting;-
;RSSI Report;COMMAND_RSSI_REPORT;0x08;supporting;controlling;-
Network Management Primary Command Class;Controller Change;COMMAND_CONTROLLER_CHANGE;0x01;controlling;supporting;-
;Controller Change Status;COMMAND_CONTROLLER_CHANGE_STATUS;0x02;supporting;controlling;-
Network Management Proxy Command Class;Node List Get;COMMAND_NODE_LIST_GET;0x01;controlling;supporting;-
;Node List Report;COMMAND_NODE_LIST_REPORT;0x02;supporting;controlling;-
;Node List Cached Get;COMMAND_NODE_INFO_CACHED_GET;0x03;controlling;supporting;-
;Node List Cached Report;COMMAND_NODE_INFO_CACHED_REPORT;0x04;supporting;controlling;-
;Network Management Multi Channel End Point Get;NM_MULTI_CHANNEL_END_POINT_GET;0x05;controlling;supporting;-
;Network Management Multi Channel End Point Report;NM_MULTI_CHANNEL_END_POINT_REPORT;0x06;supporting;controlling;-
;Network Management Multi Channel Capability Get;NM_MULTI_CHANNEL_CAPABILITY_GET;0x07;controlling;supporting;-
;Network Management Multi Channel Capability Report;NM_MULTI_CHANNEL_CAPABILITY_REPORT;0x08;supporting;controlling;-
;Network Management Multi Channel Aggregated Members Get;NM_MULTI_CHANNEL_AGGREGATED_MEMBERS_GET;0x09;controlling;supporting;-
;Network Management Multi Channel Aggregated Members Report;NM_MULTI_CHANNEL_AGGREGATED_MEMBERS_REPORT;0x0A;supporting;controlling;-
Node Naming and Location Command Class;Node Name Set;NODE_NAMING_NODE_NAME_SET;0x01;controlling;supporting;-
;Node Name Get;NODE_NAMING_NODE_NAME_GET;0x02;controlling;supporting;-
;Node Name Report;NODE_NAMING_NODE_NAME_REPORT;0x03;supporting;controlling;-
;Node Location Set;NODE_NAMING_NODE_LOCATION_SET;0x04;controlling;supporting;-
;Node Location Get;NODE_NAMING_NODE_LOCATION_GET;0x05;controlling;supporting;-
;Node Location Report;NODE_NAMING_NODE_LOCATION_REPORT;0x06;supporting;controlling;-
Node Provisioning Command Class;Node Provisioning Set;COMMAND_NODE_PROVISIONING_SET;0x01;controlling;supporting;-
;Node Provisioning Delete;COMMAND_NODE_PROVISIONING_DELETE;0x02;controlling;supporting;-
;Node Provisioning Get;COMMAND_NODE_PROVISIONING_GET;0x05;controlling;supporting;-
;Node Provisioning Report;COMMAND_NODE_PROVISIONING_REPORT;0x06;supporting;controlling;-
;Node Provisioning List Iteration Get;COMMAND_NODE_PROVISIONING_LIST_ITERATION_GET;0x03;controlling;supporting;-
;Node Provisioning List Iteration Report;COMMAND_NODE_PROVISIONING_LIST_ITERATION_REPORT;0x04;supporting;controlling;-
Notification Command Class;Event Supported Get;EVENT_SUPPORTED_GET;0x01;controlling;supporting;-
;Event Supported Report;EVENT_SUPPORTED_REPORT;0x02;supporting;controlling;-
;Notification Get;NOTIFICATION_GET;0x04;controlling;supporting;-
;Notification Report;NOTIFICATION_REPORT;0x05;supporting;controlling;-
;Notification Set;NOTIFICATION_SET;0x06;controlling;supporting;-
;Notification Supported Get;NOTIFICATION_SUPPORTED_GET;0x07;controlling;supporting;-
;Notification Supported Report;NOTIFICATION_SUPPORTED_REPORT;0x08;supporting;controlling;-
Powerlevel Command Class;Powerlevel Set;POWERLEVEL_SET;0x01;controlling;supporting;-
;Powerlevel Get;POWERLEVEL_GET;0x02;controlling;supporting;-
;Powerlevel Report;POWERLEVEL_REPORT;0x03;supporting;controlling;-
;Powerlevel Test Node Set;POWERLEVEL_TEST_NODE_SET;0x04;controlling;supporting;-
;Powerlevel Test Node Get;POWERLEVEL_TEST_NODE_GET;0x05;controlling;supporting;-
;Powerlevel Test Node Report;POWERLEVEL_TEST_NODE_REPORT;0x06;supporting;controlling;-
Prepayment Command Class;Prepayment Balance Get;PREPAYMENT_BALANCE_GET;0x01;controlling;supporting;-
;Prepayment Balance Report;PREPAYMENT_BALANCE_REPORT;0x02;supporting;controlling;-
;Prepayment Supported Get;PREPAYMENT_SUPPORTED_GET;0x03;controlling;supporting;-
;Prepayment Supported Report;PREPAYMENT_SUPPORTED_REPORT;0x04;supporting;controlling;-
Prepayment Encapsulation Command Class;Prepayment Encapsulation;CMD_ENCAPSULATION;0x01;controlling;supporting;-
Proprietary Command Class;Proprietary Set;PROPRIETARY_SET;0x01;controlling;supporting;-
;Proprietary Get;PROPRIETARY_GET;0x02;controlling;supporting;-
;Proprietary Report;PROPRIETARY_REPORT;0x03;supporting;controlling;-
Protection Command Class;Protection Set;PROTECTION_SET;0x01;controlling;supporting;-
;Protection Get;PROTECTION_GET;0x02;controlling;supporting;-
;Protection Report;PROTECTION_REPORT;0x03;supporting;controlling;-
;Protection Supported Get;PROTECTION_SUPPORTED_GET;0x04;controlling;supporting;-
;Protection Supported Report;PROTECTION_SUPPORTED_REPORT;0x05;supporting;controlling;-
;Protection Exclusive Control Set;PROTECTION_EC_SET;0x06;controlling;supporting;-
;Protection Exclusive Control Get;PROTECTION_EC_GET;0x07;controlling;supporting;-
;Protection Exclusive Control Report;PROTECTION_EC_REPORT;0x08;supporting;controlling;-
;Protection Timeout Set;PROTECTION_TIMEOUT_SET;0x09;controlling;supporting;-
;Protection Timeout Get;PROTECTION_TIMEOUT_GET;0x0A;controlling;supporting;-
;Protection Timeout Report;PROTECTION_TIMEOUT_REPORT;0x0B;supporting;controlling;-
Pulse Meter Command Class;Pulse Meter Get;METER_PULSE_GET;0x04;controlling;supporting;-
;Pulse Meter Report;METER_PULSE_REPORT;0x05;supporting;controlling;-
Rate Table Configuration Command Class;Rate Table Set;RATE_TBL_SET;0x01;controlling;supporting;-
;Rate Table Remove;RATE_TBL_REMOVE;0x02;controlling;supporting;-
Rate Table Monitor Command Class;Rate Table Supported Get;RATE_TBL_SUPPORTED_GET;0x01;controlling;supporting;-
;Rate Table Supported Report;RATE_TBL_SUPPORTED_REPORT;0x02;supporting;controlling;-
;Rate Table Get;RATE_TBL_GET;0x03;controlling;supporting;-
;Rate Table Report;RATE_TBL_REPORT;0x04;supporting;controlling;-
;Rate Table Active Rate Get;RATE_TBL_ACTIVE_RATE_GET;0x05;controlling;supporting;-
;Rate Table Active Rate Report;RATE_TBL_ACTIVE_RATE_REPORT;0x06;supporting;controlling;-
;Rate Table Current Data Get;RATE_TBL_CURRENT_DATA_GET;0x07;controlling;supporting;-
;Rate Table Current Data Report;RATE_TBL_CURRENT_DATA_REPORT;0x08;supporting;controlling;-
;Rate Table Historical Data Get;RATE_TBL_HISTORICAL_DATA_GET;0x09;controlling;supporting;-
;Rate Table Historical Data Report;RATE_TBL_HISTORICAL_DATA_REPORT;0x0A;supporting;controlling;-
Remote Association Activation Command Class;Remote Association Activate;REMOTE_ASSOCIATION_ACTIVATE;0x01;controlling;supporting;-
Remote Association Configuration Command Class;Remote Association Configuration Set;REMOTE_ASSOCIATION_CONFIGURATION_SET;0x01;controlling;supporting;-
;Remote Association Configuration Get;REMOTE_ASSOCIATION_CONFIGURATION_GET;0x02;controlling;supporting;-
;Remote Association Configuration Report;REMOTE_ASSOCIATION_CONFIGURATION_REPORT;0x03;supporting;controlling;-
Scene Activation Command Class;Scene Activation Set;SCENE_ACTIVATION_SET;0x01;controlling;supporting;-
Scene Actuator Configuration Command Class;Scene Actuator Configuration Set;SCENE_ACTUATOR_CONF_SET;0x01;controlling;supporting;-
;Scene Actuator Configuration Get;SCENE_ACTUATOR_CONF_GET;0x02;controlling;supporting;-
;Scene Actuator Configuration Report;SCENE_ACTUATOR_CONF_REPORT;0x03;supporting;controlling;-
Scene Controller Configuration Command Class;Scene Controller Configuration Set;SCENE_CONTROLLER_CONF_SET;0x01;controlling;supporting;-
;Scene Controller Configuration Get;SCENE_CONTROLLER_CONF_GET;0x02;controlling;supporting;-
;Scene Controller Configuration Report;SCENE_CONTROLLER_CONF_REPORT;0x03;supporting;controlling;-
Schedule Command Class;Schedule Supported Get;SCHEDULE_SUPPORTED_GET;0x01;controlling;supporting;-
;Schedule Supported Report;SCHEDULE_SUPPORTED_REPORT;0x02;supporting;controlling;-
;Schedule Set;COMMAND_SCHEDULE_SET;0x03;controlling;supporting;-
;Schedule Get;COMMAND_SCHEDULE_GET;0x04;controlling;supporting;-
;Schedule Report;COMMAND_SCHEDULE_REPORT;0x05;supporting;controlling;-
;Schedule Remove;SCHEDULE_REMOVE;0x06;controlling;supporting;-
;Schedule State Set;SCHEDULE_STATE_SET;0x07;controlling;supporting;-
;Schedule State Get;SCHEDULE_STATE_GET;0x08;controlling;supporting;-
;Schedule State Report;SCHEDULE_STATE_REPORT;0x09;supporting;controlling;-
;Schedule Supported Commands Get;SCHEDULE_SUPPORTED_COMMANDS_GET;0x0A;controlling;supporting;-
;Schedule Supported Commands Report;SCHEDULE_SUPPORTED_COMMANDS_REPORT;0x0B;supporting;controlling;-
Schedule Entry Lock Command Class;Schedule Entry Lock Enable Set;SCHEDULE_ENTRY_LOCK_ENABLE_SET;0x01;controlling;supporting;-
;Schedule Entry Lock Enable All Set;SCHEDULE_ENTRY_LOCK_ENABLE_ALL_SET;0x02;controlling;supporting;-
;Schedule Entry Lock Week Day Schedule Set;SCHEDULE_ENTRY_LOCK_WEEK_DAY_SET;0x03;controlling;supporting;-
;Schedule Entry Lock Week Days Schedule Get;SCHEDULE_ENTRY_LOCK_WEEK_DAY_GET;0x04;controlling;supporting;-
;Schedule Entry Lock Week Day Schedule Report;SCHEDULE_ENTRY_LOCK_WEEK_DAY_REPORT;0x05;supporting;controlling;-
;Schedule Entry Lock Year Day Schedule Set;SCHEDULE_ENTRY_LOCK_YEAR_DAY_SET;0x06;controlling;supporting;-
;Schedule Entry Lock Year Day Schedule Get;SCHEDULE_ENTRY_LOCK_YEAR_DAY_GET;0x07;controlling;supporting;-
;Schedule Entry Lock Year Day Schedule Report;SCHEDULE_ENTRY_LOCK_YEAR_DAY_REPORT;0x08;supporting;controlling;-
;Schedule Entry Lock Supported Get;SCHEDULE_ENTRY_TYPE_SUPPORTED_GET;0x09;controlling;supporting;-
;Schedule Entry Lock Supported Report;SCHEDULE_ENTRY_TYPE_SUPPORTED_REPORT;0x0A;supporting;controlling;-
;Schedule Entry Lock Time Offset Get;SCHEDULE_ENTRY_LOCK_TIME_OFFSET_GET;0x0B;controlling;supporting;-
;Schedule Entry Lock Time Offset Report;SCHEDULE_ENTRY_LOCK_TIME_OFFSET_REPORT;0x0C;supporting;controlling;-
;Schedule Entry Lock Time Offset Set;SCHEDULE_ENTRY_LOCK_TIME_OFFSET_SET;0x0D;controlling;supporting;-
;Schedule Entry Lock Daily Repeating Get;SCHEDULE_ENTRY_LOCK_DAILY_REPEATING_GET;0x0E;controlling;supporting;-
;Schedule Entry Lock Daily Repeating Report;SCHEDULE_ENTRY_LOCK_DAILY_REPEATING_REPORT;0x0F;supporting;controlling;-
;Schedule Entry Lock Daily Repeating Set;SCHEDULE_ENTRY_LOCK_DAILY_REPEATING_SET;0x10;controlling;supporting;-
Screen Attributes Command Class;Screen Attributes Get;SCREEN_ATTRIBUTES_GET;0x01;controlling;supporting;-
;Screen Attributes Report;SCREEN_ATTRIBUTES_REPORT;0x02;supporting;controlling;-
Screen Meta Data Command Class;Screen Meta Data Get;SCREEN_MD_GET;0x01;controlling;supporting;-
;Screen Meta Data Report;SCREEN_MD_REPORT;0x02;supporting;controlling;-
Security 0 Command Class;Security Commands Supported Get;SECURITY_COMMANDS_SUPPORTED_GET;0x02;controlling;supporting;-
;Security Commands Supported Report;SECURITY_COMMANDS_SUPPORTED_REPORT;0x03;supporting;controlling;-
;Security Scheme Get;SECURITY_SCHEME_GET;0x04;controlling;supporting;-
;Security Scheme Report;SECURITY_SCHEME_REPORT;0x05;supporting;controlling;-
;Network Key Set;NETWORK_KEY_SET;0x06;controlling;supporting;-
;Network Key Verify;NETWORK_KEY_VERIFY;0x07;supporting;controlling;-
;Security Scheme Inherit;SECURITY_SCHEME_INHERIT;0x08;controlling;supporting;-
;Nonce Challenge Request;SECURITY_NONCE_GET;0x40;supporting;supporting;Both supporting
;Nonce Challenge Response;SECURITY_NONCE_REPORT;0x80;supporting;supporting;Both supporting
;Security Message Encapsulation;SECURITY_MESSAGE_ENCAPSULATION;0x81;supporting;supporting;Both supporting
;Security Message Encapsulation;SECURITY_MESSAGE_ENCAPSULATION_NONCE_GET;0xC1;supporting;supporting;Both supporting
Security 2 Command Class;Security 2 Nonce Get;SECURITY_2_NONCE_GET;0x01;controlling;supporting;-
;Security 2 Nonce Report;SECURITY_2_NONCE_REPORT;0x02;supporting;controlling;-
;Security 2 Message Encapsulation;SECURITY_2_MESSAGE_ENCAPSULATION;0x03;supporting;supporting;-
;Security 2 KEX Get;KEX_GET;0x04;controlling;supporting;-
;Security 2 KEX Report;KEX_REPORT;0x05;supporting;controlling;-
;Security 2 KEX Set;KEX_SET;0x06;controlling;supporting;-
;Security 2 KEX Fail;KEX_FAIL;0x07;supporting;supporting;Both supporting
;Security 2 Public Key Report;PUBLIC_KEY_REPORT;0x08;supporting;supporting;Both supporting
;Security 2 Network Key Get;SECURITY_2_NETWORK_KEY_GET;0x09;supporting;controlling;-
;Security 2 Network Key Report;SECURITY_2_NETWORK_KEY_REPORT;0x0A;controlling;supporting;-
;Security 2 Network Key Verify;SECURITY_2_NETWORK_KEY_VERIFY;0x0B;supporting;controlling;-
;Security 2 Transfer End;SECURITY_2_TRANSFER_END;0x0C;supporting;supporting;Both supporting
;Security 2 Commands Supported Get ;SECURITY_2_COMMANDS_SUPPORTED_GET;0x0D;controlling;supporting;-
;Security 2 Commands Supported Report;SECURITY_2_COMMANDS_SUPPORTED_REPORT;0x0E;supporting;controlling;-
Sensor Configuration Command Class;Sensor Trigger Level Set;SENSOR_TRIGGER_LEVEL_SET;0x01;controlling;supporting;-
;Sensor Trigger Level Get;SENSOR_TRIGGER_LEVEL_GET;0x02;controlling;supporting;-
;Sensor Trigger Level Report;SENSOR_TRIGGER_LEVEL_REPORT;0x03;supporting;controlling;-
Simple AV Control Command Class;Simple AV Control Set;SIMPLE_AV_CONTROL_SET;0x01;controlling;supporting;-
;Simple AV Control Get;SIMPLE_AV_CONTROL_GET;0x02;controlling;supporting;-
;Simple AV Control Report;SIMPLE_AV_CONTROL_REPORT;0x03;supporting;controlling;-
;Simple AV Control Supported Get;SIMPLE_AV_CONTROL_SUPPORTED_GET;0x04;controlling;supporting;-
;Simple AV Control Supported Report;SIMPLE_AV_CONTROL_SUPPORTED_REPORT;0x05;supporting;controlling;-
Sound Switch Command Class;Sound Switch Tones Number Get;SOUND_SWITCH_TONES_NUMBER_GET;0x01;controlling;supporting;-
;Sound Switch Tones Number Report;SOUND_SWITCH_TONES_NUMBER_REPORT;0x02;supporting;controlling;-
;Sound Switch Tone Info Get;SOUND_SWITCH_TONE_INFO_GET;0x03;controlling;supporting;-
;Sound Switch Tone Info Report;SOUND_SWITCH_TONE_INFO_REPORT;0x04;supporting;controlling;-
;Sound Switch Configuration Set;SOUND_SWITCH_CONFIGURATION_SET;0x05;controlling;supporting;-
;Sound Switch Configuration Get;SOUND_SWITCH_CONFIGURATION_GET;0x06;controlling;supporting;-
;Sound Switch Configuration Report;SOUND_SWITCH_CONFIGURATION_REPORT;0x07;supporting;controlling;-
;Sound Switch Tone Play Set;SOUND_SWITCH_TONE_PLAY_SET;0x08;controlling;supporting;-
;Sound Switch Tone Play Get;SOUND_SWITCH_TONE_PLAY_GET;0x09;controlling;supporting;-
;Sound Switch Tone Play Report;SOUND_SWITCH_TONE_PLAY_REPORT;0x0A;supporting;controlling;-
Supervision Command Class;Supervision Get;SUPERVISION_GET;0x01;controlling;supporting;-
;Supervision Report;SUPERVISION_REPORT;0x02;supporting;controlling;-
Tariff Table Configuration Command Class;Tariff Table Supplier Set;TARIFF_TBL_SUPPLIER_SET;0x01;controlling;supporting;-
;Tariff Table Set;TARIFF_TBL_SET;0x02;controlling;supporting;-
;Tariff Table Remove;TARIFF_TBL_REMOVE;0x03;controlling;supporting;-
Tariff Table Monitor Command Class;Tariff Table Supplier Get;TARIFF_TBL_SUPPLIER_GET;0x01;controlling;supporting;-
;Tariff Table Supplier Report;TARIFF_TBL_SUPPLIER_REPORT;0x02;supporting;controlling;-
;Tariff Table Get;TARIFF_TBL_GET;0x03;controlling;supporting;-
;Tariff Table Report;TARIFF_TBL_REPORT;0x04;supporting;controlling;-
;Tariff Table Cost Get;TARIFF_TBL_COST_GET;0x05;controlling;supporting;-
;Tariff Table Cost Report;TARIFF_TBL_COST_REPORT;0x06;supporting;controlling;-
Thermostat Fan Mode Command Class;Thermostat Fan Mode Set;THERMOSTAT_FAN_MODE_SET;0x01;controlling;supporting;-
;Thermostat Fan Mode Get;THERMOSTAT_FAN_MODE_GET;0x02;controlling;supporting;-
;Thermostat Fan Mode Report;THERMOSTAT_FAN_MODE_REPORT;0x03;supporting;controlling;-
;Thermostat Fan Mode Supported Get;THERMOSTAT_FAN_MODE_SUPPORTED_GET;0x04;controlling;supporting;-
;Thermostat Fan Mode Supported Report;THERMOSTAT_FAN_MODE_SUPPORTED_REPORT;0x05;supporting;controlling;-
Thermostat Fan State Command Class;Thermostat Fan State Get;THERMOSTAT_FAN_STATE_GET;0x02;controlling;supporting;-
;Thermostat Fan State Report;THERMOSTAT_FAN_STATE_REPORT;0x03;supporting;controlling;-
Thermostat Mode Command Class;Thermostat Mode Set;THERMOSTAT_MODE_SET;0x01;controlling;supporting;-
;Thermostat Mode Get;THERMOSTAT_MODE_GET;0x02;controlling;supporting;-
;Thermostat Mode Report;THERMOSTAT_MODE_REPORT;0x03;supporting;controlling;-
;Thermostat Mode Supported Get;THERMOSTAT_MODE_SUPPORTED_GET;0x04;controlling;supporting;-
;Thermostat Mode Supported Report;THERMOSTAT_MODE_SUPPORTED_REPORT;0x05;supporting;controlling;-
Thermostat Operating State Command Class;Thermostat Operating State Get;THERMOSTAT_OPERATING_STATE_GET;0x02;controlling;supporting;-
;Thermostat Operating State Report;THERMOSTAT_OPERATING_STATE_REPORT;0x03;supporting;controlling;-
;Thermostat Operating State Logging Supported Get;THERMOSTAT_OPERATING_STATE_LOGGING_SUPPORTED_GET;0x01;controlling;supporting;-
;Thermostat Operating State Logging Supported Report;THERMOSTAT_OPERATING_LOGGING_SUPPORTED_REPORT;0x04;supporting;controlling;-
;Thermostat Operating State Logging Get;THERMOSTAT_OPERATING_STATE_LOGGING_GET;0x05;controlling;supporting;-
;Thermostat Operating State Logging Report;THERMOSTAT_OPERATING_STATE_LOGGING_REPORT;0x06;supporting;controlling;-
Thermostat Setback Command Class;Thermostat Setback Set;THERMOSTAT_SETBACK_SET;0x01;controlling;supporting;-
;Thermostat Setback Get;THERMOSTAT_SETBACK_GET;0x02;controlling;supporting;-
;Thermostat Setback Report;THERMOSTAT_SETBACK_REPORT;0x03;supporting;controlling;-
Thermostat Setpoint Command Class;Thermostat Setpoint Set;THERMOSTAT_SETPOINT_SET;0x01;controlling;supporting;-
;Thermostat Setpoint Get;THERMOSTAT_SETPOINT_GET;0x02;controlling;supporting;-
;Thermostat Setpoint Report;THERMOSTAT_SETPOINT_REPORT;0x03;supporting;controlling;-
;Thermostat Setpoint Supported Get;THERMOSTAT_SETPOINT_SUPPORTED_GET;0x04;controlling;supporting;-
;Thermostat Setpoint Supported Report;THERMOSTAT_SETPOINT_SUPPORTED_REPORT;0x05;supporting;controlling;-
;Thermostat Setpoint Capabilities Get;THERMOSTAT_SETPOINT_CAPABILITIES_GET;0x09;controlling;supporting;-
;Thermostat Setpoint Capabilities Report;THERMOSTAT_SETPOINT_CAPABILITIES_REPORT;0x0A;supporting;controlling;-
Time Command Class;Time Get;TIME_GET;0x01;controlling;supporting;-
;Time Report;TIME_REPORT;0x02;supporting;controlling;-
;Date Get;DATE_GET;0x03;controlling;supporting;-
;Date Report;DATE_REPORT;0x04;supporting;controlling;-
;Time Offset Set;TIME_OFFSET_SET;0x05;controlling;supporting;-
;Time Offset Get;TIME_OFFSET_GET;0x06;controlling;supporting;-
;Time Offset Report;TIME_OFFSET_REPORT;0x07;supporting;controlling;-
Time Parameters Command Class;Time Parameters Set;TIME_PARAMETERS_SET;0x01;controlling;supporting;-
;Time Parameters Get;TIME_PARAMETERS_GET;0x02;controlling;supporting;-
;Time Parameters Report;TIME_PARAMETERS_REPORT;0x03;supporting;controlling;-
Transport Service Command Class;First Segment;COMMAND_FIRST_FRAGMENT;0xC0;controlling;supporting;-
;Segment Complete;COMMAND_FRAGMENT_COMPLETE;0xE8;supporting;controlling;-
;Segment Request;COMMAND_FRAGMENT_REQUEST;0xC8;supporting;controlling;-
;Segment Wait;COMMAND_FRAGMENT_WAIT;0xF0;supporting;controlling;-
;Subsequent segment;COMMAND_SUBSEQUENT_FRAGMENT;0xE0;controlling;supporting;-
User Code Command Class;User Code Set;USER_CODE_SET;0x01;controlling;supporting;-
;User Code Get;USER_CODE_GET;0x02;controlling;supporting;-
;User Code Report;USER_CODE_REPORT;0x03;supporting;controlling;-
;Users Number Get;USERS_NUMBER_GET;0x04;controlling;supporting;-
;Users Number Report;USERS_NUMBER_REPORT;0x05;supporting;controlling;-
Version Command Class;Version Get;VERSION_GET;0x11;controlling;supporting;-
;Version Report;VERSION_REPORT;0x12;supporting;controlling;-
;Version Command Class Get;VERSION_COMMAND_CLASS_GET;0x13;controlling;supporting;-
;Version Command Class Report;VERSION_COMMAND_CLASS_REPORT;0x14;supporting;controlling;-
;Version Capabilities Get;VERSION_CAPABILITIES_GET;0x15;controlling;supporting;-
;Version Capabilities Report;VERSION_CAPABILITIES_REPORT;0x16;supporting;controlling;-
;Version Z-Wave Software Get;VERSION_ZWAVE_SOFTWARE_GET;0x17;controlling;supporting;-
;Version Z-Wave Software Report;VERSION_ZWAVE_SOFTWARE_REPORT;0x18;supporting;controlling;-
Wake Up Command Class;Wake Up Interval Set;WAKE_UP_INTERVAL_SET;0x04;controlling;supporting;-
;Wake Up Interval Get;WAKE_UP_INTERVAL_GET;0x05;controlling;supporting;-
;Wake Up Interval Report;WAKE_UP_INTERVAL_REPORT;0x06;supporting;controlling;-
;Wake Up Notification;WAKE_UP_NOTIFICATION;0x07;supporting;controlling;-
;Wake Up No More Information;WAKE_UP_NO_MORE_INFORMATION;0x08;controlling;supporting;-
;Wake Up Interval Capabilities Get;WAKE_UP_INTERVAL_CAPABILITIES_GET;0x09;controlling;supporting;-
;Wake Up Interval Capabilities Report;WAKE_UP_INTERVAL_CAPABILITIES_REPORT;0x0A;supporting;controlling;-
Window Covering Command Class;Window Covering Supported Get;WINDOW_COVERING_SUPPORTED_GET;0x01;controlling;supporting;-
;Window Covering Supported Report;WINDOW_COVERING_SUPPORTED_REPORT;0x02;supporting;controlling;-
;Window Covering Get;WINDOW_COVERING_GET;0x03;controlling;supporting;-
